PassengerId	Pclass	Sex	Survived
284	3	male	1
285	1	male	0
286	3	male	0
287	3	male	1
288	3	male	0
289	2	male	1
290	3	female	1
291	1	female	1
292	1	female	1
293	2	male	0
294	3	female	0
295	3	male	0
296	1	male	0
297	3	male	0
298	1	female	0
299	1	male	1
300	1	female	1
301	3	female	1
302	3	male	1
303	3	male	0
304	2	female	1
305	3	male	0
306	1	male	1
307	1	female	1
308	1	female	1
309	2	male	0
310	1	female	1
311	1	female	1
312	1	female	1
313	2	female	0
314	3	male	0
315	2	male	0
316	3	female	1
317	2	female	1
318	2	male	0
319	1	female	1
320	1	female	1
321	3	male	0
322	3	male	0
323	2	female	1
324	2	female	1
325	3	male	0
326	1	female	1
327	3	male	0
328	2	female	1
329	3	female	1
330	1	female	1
331	3	female	1
332	1	male	0
333	1	male	0
334	3	male	0
335	1	female	1
336	3	male	0
337	1	male	0
338	1	female	1
339	3	male	1
340	1	male	0
341	2	male	1
342	1	female	1
343	2	male	0
344	2	male	0
345	2	male	0
346	2	female	1
347	2	female	1
348	3	female	1
349	3	male	1
350	3	male	0
351	3	male	0
352	1	male	0
353	3	male	0
354	3	male	0
355	3	male	0
356	3	male	0
357	1	female	1
358	2	female	0
359	3	female	1
360	3	female	1
361	3	male	0
362	2	male	0
363	3	female	0
364	3	male	0
365	3	male	0
366	3	male	0
367	1	female	1
368	3	female	1
369	3	female	1
370	1	female	1
371	1	male	1
372	3	male	0
373	3	male	0
374	1	male	0
375	3	female	0
376	1	female	1
377	3	female	1
378	1	male	0
379	3	male	0
380	3	male	0
381	1	female	1
382	3	female	1
383	3	male	0
384	1	female	1
385	3	male	0
386	2	male	0
387	3	male	0
388	2	female	1
389	3	male	0
390	2	female	1
391	1	male	1
392	3	male	1
393	3	male	0
394	1	female	1
395	3	female	1
396	3	male	0
397	3	female	0
398	2	male	0
399	2	male	0
400	2	female	1
401	3	male	1
402	3	male	0
403	3	female	0
404	3	male	0
405	3	female	0
406	2	male	0
407	3	male	0
408	2	male	1
409	3	male	0
410	3	female	0
411	3	male	0
412	3	male	0
413	1	female	1
414	2	male	0
415	3	male	1
416	3	female	0
417	2	female	1
418	2	female	1
419	2	male	0
420	3	female	0
421	3	male	0
422	3	male	0
423	3	male	0
424	3	female	0
425	3	male	0
426	3	male	0
427	2	female	1
428	2	female	1
429	3	male	0
430	3	male	1
431	1	male	1
432	3	female	1
433	2	female	1
434	3	male	0
435	1	male	0
436	1	female	1
437	3	female	0
438	2	female	1
439	1	male	0
440	2	male	0
441	2	female	1
442	3	male	0
443	3	male	0
444	2	female	1
445	3	male	1
446	1	male	1
447	2	female	1
448	1	male	1
449	3	female	1
450	1	male	1
451	2	male	0
452	3	male	0
453	1	male	0
454	1	male	1
455	3	male	0
456	3	male	1
457	1	male	0
458	1	female	1
459	2	female	1
460	3	male	0
461	1	male	1
462	3	male	0
463	1	male	0
464	2	male	0
465	3	male	0
466	3	male	0
467	2	male	0
468	1	male	0
469	3	male	0
470	3	female	1
471	3	male	0
472	3	male	0
473	2	female	1
474	2	female	1
475	3	female	0
476	1	male	0
477	2	male	0
478	3	male	0
479	3	male	0
480	3	female	1
481	3	male	0
482	2	male	0
483	3	male	0
484	3	female	1
485	1	male	1
486	3	female	0
487	1	female	1
488	1	male	0
489	3	male	0
490	3	male	1
491	3	male	0
492	3	male	0
493	1	male	0
494	1	male	0
495	3	male	0
496	3	male	0
497	1	female	1
498	3	male	0
499	1	female	0
500	3	male	0
501	3	male	0
502	3	female	0
503	3	female	0
504	3	female	0
505	1	female	1
506	1	male	0
507	2	female	1
508	1	male	1
509	3	male	0
510	3	male	1
511	3	male	1
512	3	male	0
513	1	male	1
514	1	female	1
515	3	male	0
516	1	male	0
517	2	female	1
518	3	male	0
519	2	female	1
520	3	male	0
521	1	female	1
522	3	male	0
523	3	male	0
524	1	female	1
525	3	male	0
526	3	male	0
527	2	female	1
528	1	male	0
529	3	male	0
530	2	male	0
531	2	female	1
532	3	male	0
533	3	male	0
534	3	female	1
535	3	female	0
536	2	female	1
537	1	male	0
538	1	female	1
539	3	male	0
540	1	female	1
541	1	female	1
542	3	female	0
543	3	female	0
544	2	male	1
545	1	male	0
546	1	male	0
547	2	female	1
548	2	male	1
549	3	male	0
550	2	male	1
551	1	male	1
552	2	male	0
553	3	male	0
554	3	male	1
555	3	female	1
556	1	male	0
557	1	female	1
558	1	male	0
559	1	female	1
560	3	female	1
561	3	male	0
562	3	male	0
563	2	male	0
564	3	male	0
565	3	female	0
566	3	male	0
567	3	male	0
568	3	female	0
569	3	male	0
570	3	male	1
571	2	male	1
572	1	female	1
573	1	male	1
574	3	female	1
575	3	male	0
576	3	male	0
577	2	female	1
578	1	female	1
579	3	female	0
580	3	male	1
581	2	female	1
582	1	female	1
583	2	male	0
584	1	male	0
585	3	male	0
586	1	female	1
587	2	male	0
588	1	male	1
589	3	male	0
590	3	male	0
591	3	male	0
592	1	female	1
593	3	male	0
594	3	female	0
595	2	male	0
596	3	male	0
597	2	female	1
598	3	male	0
599	3	male	0
600	1	male	1
601	2	female	1
602	3	male	0
603	1	male	0
604	3	male	0
605	1	male	1
606	3	male	0
607	3	male	0
608	1	male	1
609	2	female	1
610	1	female	1
611	3	female	0
612	3	male	0
613	3	female	1
614	3	male	0
615	3	male	0
616	2	female	1
617	3	male	0
618	3	female	0
619	2	female	1
620	2	male	0
621	3	male	0
622	1	male	1
623	3	male	1
624	3	male	0
625	3	male	0
626	1	male	0
627	2	male	0
628	1	female	1
629	3	male	0
630	3	male	0
631	1	male	1
632	3	male	0
633	1	male	1
634	1	male	0
635	3	female	0
636	2	female	1
637	3	male	0
638	2	male	0
639	3	female	0
640	3	male	0
641	3	male	0
642	1	female	1
643	3	female	0
644	3	male	1
645	3	female	1
646	1	male	1
647	3	male	0
648	1	male	1
649	3	male	0
650	3	female	1
651	3	male	0
652	2	female	1
653	3	male	0
654	3	female	1
655	3	female	0
656	2	male	0
657	3	male	0
658	3	female	0
659	2	male	0
660	1	male	0
661	1	male	1
662	3	male	0
663	1	male	0
664	3	male	0
665	3	male	1
666	2	male	0
667	2	male	0
668	3	male	0
669	3	male	0
670	1	female	1
671	2	female	1
672	1	male	0
673	2	male	0
674	2	male	1
675	2	male	0
676	3	male	0
677	3	male	0
678	3	female	1
679	3	female	0
680	1	male	1
681	3	female	0
682	1	male	1
683	3	male	0
684	3	male	0
685	2	male	0
686	2	male	0
687	3	male	0
688	3	male	0
689	3	male	0
690	1	female	1
691	1	male	1
692	3	female	1
693	3	male	1
694	3	male	0
695	1	male	0
696	2	male	0
697	3	male	0
698	3	female	1
699	1	male	0
700	3	male	0
701	1	female	1
702	1	male	1
703	3	female	0
704	3	male	0
705	3	male	0
706	2	male	0
707	2	female	1
708	1	male	1
709	1	female	1
710	3	male	1
711	1	female	1
712	1	male	0
713	1	male	1
714	3	male	0
715	2	male	0
716	3	male	0
717	1	female	1
718	2	female	1
719	3	male	0
720	3	male	0
721	2	female	1
722	3	male	0
723	2	male	0
724	2	male	0
725	1	male	1
726	3	male	0
727	2	female	1
728	3	female	1
729	2	male	0
730	3	female	0
731	1	female	1
732	3	male	0
733	2	male	0
734	2	male	0
735	2	male	0
736	3	male	0
737	3	female	0
738	1	male	1
739	3	male	0
740	3	male	0
741	1	male	1
742	1	male	0
743	1	female	1
744	3	male	0
745	3	male	1
746	1	male	0
747	3	male	0
748	2	female	1
749	1	male	0
750	3	male	0
751	2	female	1
752	3	male	1
753	3	male	0
754	3	male	0
755	2	female	1
756	2	male	1
757	3	male	0
758	2	male	0
759	3	male	0
760	1	female	1
761	3	male	0
762	3	male	0
763	3	male	1
764	1	female	1
765	3	male	0
766	1	female	1
767	1	male	0
768	3	female	0
769	3	male	0
770	3	male	0
771	3	male	0
772	3	male	0
773	2	female	0
774	3	male	0
775	2	female	1
776	3	male	0
777	3	male	0
778	3	female	1
779	3	male	0
780	1	female	1
781	3	female	1
782	1	female	1
783	1	male	0
784	3	male	0
785	3	male	0
786	3	male	0
787	3	female	1
788	3	male	0
789	3	male	1
790	1	male	0
791	3	male	0
792	2	male	0
793	3	female	0
794	1	male	0
795	3	male	0
796	2	male	0
797	1	female	1
798	3	female	1
799	3	male	0
800	3	female	0
801	2	male	0
802	2	female	1
803	1	male	1
804	3	male	1
805	3	male	1
806	3	male	0
807	1	male	0
808	3	female	0
809	2	male	0
810	1	female	1
811	3	male	0
812	3	male	0
813	2	male	0
814	3	female	0
815	3	male	0
816	1	male	0
817	3	female	0
818	2	male	0
819	3	male	0
820	3	male	0
821	1	female	1
822	3	male	1
823	1	male	0
824	3	female	1
825	3	male	0
826	3	male	0
827	3	male	0
828	2	male	1
829	3	male	1
830	1	female	1
831	3	female	1
832	2	male	1
833	3	male	0
834	3	male	0
835	3	male	0
836	1	female	1
837	3	male	0
838	3	male	0
839	3	male	1
840	1	male	1
841	3	male	0
842	2	male	0
843	1	female	1
844	3	male	0
845	3	male	0
846	3	male	0
847	3	male	0
848	3	male	0
849	2	male	0
850	1	female	1
851	3	male	0
852	3	male	0
853	3	female	0
854	1	female	1
855	2	female	0
856	3	female	1
857	1	female	1
858	1	male	1
859	3	female	1
860	3	male	0
861	3	male	0
862	2	male	0
863	1	female	1
864	3	female	0
865	2	male	0
866	2	female	1
867	2	female	1
868	1	male	0
869	3	male	0
870	3	male	1
871	3	male	0
872	1	female	1
873	1	male	0
874	3	male	0
875	2	female	1
876	3	female	1
877	3	male	0
878	3	male	0
879	3	male	0
880	1	female	1
881	2	female	1
882	3	male	0
883	3	female	0
884	2	male	0
885	3	male	0
886	3	female	0
887	2	male	0
888	1	female	1
889	3	female	0
890	1	male	1
891	3	male	0
